timestamp,proceso,error_level,error_message,mensaje,log_category
2026-09-11 08:02:29.680,Server,0.0,Microsoft SQL Server 2022 (RTM-CU26) (KB5093420) - 16.0.4265.3 (X64) Jul 7 2026 14:37:25 Copyright (C) 2022 Microsoft Corporation Developer Edition (64-bit) on Linux (Ubuntu 22.04.5 LTS) <X64>,Microsoft SQL Server 2022 (RTM-CU26) (KB5093420) - 16.0.4265.3 (X64) Jul 7 2026 14:37:25 Copyright (C) 2022 Microsoft Corporation Developer Edition (64-bit) on Linux (Ubuntu 22.04.5 LTS) <X64>,INFO
2026-09-11 08:02:29.680,Server,0.0,UTC adjustment: 0:00,UTC adjustment: 0:00,INFO
2026-09-11 08:02:29.680,Server,0.0,(c) Microsoft Corporation.,(c) Microsoft Corporation.,INFO
2026-09-11 08:02:29.690,Server,0.0,All rights reserved.,All rights reserved.,INFO
2026-09-11 08:02:29.700,Server,0.0,Server process ID is 452.,Server process ID is 452.,INFO
2026-09-11 08:02:29.700,Server,0.0,Logging SQL Server messages in file '/var/opt/mssql/log/errorlog'.,Logging SQL Server messages in file '/var/opt/mssql/log/errorlog'.,ERROR
2026-09-11 08:02:29.700,Server,0.0,Registry startup parameters: -d /var/opt/mssql/data/master.mdf -l /var/opt/mssql/data/mastlog.ldf -e /var/opt/mssql/log/errorlog,Registry startup parameters: -d /var/opt/mssql/data/master.mdf -l /var/opt/mssql/data/mastlog.ldf -e /var/opt/mssql/log/errorlog,ERROR
2026-09-11 08:02:29.720,Server,0.0,"SQL Server detected 1 sockets with 3 cores per socket and 6 logical processors per socket, 6 total logical processors; using 6 logical processors based on SQL Server licensing. This is an informational message; no user action is required.","SQL Server detected 1 sockets with 3 cores per socket and 6 logical processors per socket, 6 total logical processors; using 6 logical processors based on SQL Server licensing. This is an informational message; no user action is required.",INFO
2026-09-11 08:02:29.720,Server,0.0,SQL Server is starting at normal priority base (=7). This is an informational message only. No user action is required.,SQL Server is starting at normal priority base (=7). This is an informational message only. No user action is required.,STARTUP
2026-09-11 08:02:29.730,Server,0.0,"Detected 3916 MB of RAM, 2314 MB of available memory, 2314 MB of available page file. This is an informational message; no user action is required.","Detected 3916 MB of RAM, 2314 MB of available memory, 2314 MB of available page file. This is an informational message; no user action is required.",INFO
2026-09-11 08:02:29.740,Server,0.0,Using conventional memory in the memory manager.,Using conventional memory in the memory manager.,INFO
2026-09-11 08:02:29.740,Server,0.0,Detected pause instruction latency: 140 cycles.,Detected pause instruction latency: 140 cycles.,PERFORMANCE
2026-09-11 08:02:29.740,Server,0.0,"SQL Server detected the following NUMA node configuration (NUMA Node number 0, Processor Group number 0, CPU Mask 0x000000000000003f).","SQL Server detected the following NUMA node configuration (NUMA Node number 0, Processor Group number 0, CPU Mask 0x000000000000003f).",CONFIGURATION
